"taxon_id"	"otu_id"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"treatment_1"	"treatment_2"	"log2_median_ratio"	"median_diff"	"mean_diff"	"wilcox_p_value"
"1"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Healthy"	-4.38288017324686	-0.458701859982933	-0.376650627906614	1.68561761833561e-08
"2"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Healthy"	1.91572081930447	0.000329611648971024	0.000168928784043271	0.0614202314288826
"3"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Healthy"	0.179181061568271	1.49156854543346e-05	-0.000569240281105605	0.21152636007756
"4"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Healthy"	-0.390231662094453	-0.000204198626508589	6.04375254394274e-05	0.937161090238216
"5"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Healthy"	-0.529358852695834	-7.97361886225261e-06	-7.08459015986426e-05	0.0685720393028146
"6"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Healthy"	-1.21410431414023	-0.00918110672344977	-0.0323403678948836	0.000134443925536575
"7"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Healthy"	-Inf	-1.48954133447412e-07	-3.67189556261237e-05	0.164698347124252
"8"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Community_acquired_pneumonia"	-2.05387878369855	-0.0727945437385248	-0.133228082932294	0.00672363932325371
"9"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Community_acquired_pneumonia"	0.893809994115269	0.00020710996307011	0.000535320865398422	0.590008392503558
"10"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Community_acquired_pneumonia"	-0.364303203230656	-3.66851904280497e-05	-0.00318746642778801	0.140801856917043
"11"	"abf"	"75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	NA	"COVID_19"	"Community_acquired_pneumonia"	-0.455843130598736	-0.000244288583399455	-9.08767109896104e-05	0.538725624963737
