domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_num CRR125950_0.90.bracken_num CRR125950_0.95.bracken_num CRR125950_0.99.bracken_num CRR125950_0.bracken_num CRR125950_1.bracken_num 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium cynomolgi 5827 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Blattabacteriaceae Blattabacterium Blattabacterium clevelandi 164516 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Sphingobacteriia Sphingobacteriales Sphingobacteriaceae Sphingobacterium Sphingobacterium sp. CZ-2 	2557994 0 0 0 0 1 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Kazachstania Kazachstania africana 432096 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Negativicutes Veillonellales Veillonellaceae Veillonella Veillonella rodentium 248315 	S 0.00000 0.00000 0.00000 0.00000 0.00019 0.00000 
Bacteria Acidobacteria Acidobacteriia Bryobacterales Solibacteraceae Candidatus Solibacter Candidatus Solibacter 	usitatus S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Lysobacter Lysobacter alkalisoli 2591633 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae Pseudodesulfovibrio Pseudodesulfovibrio indicus 1716143 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Xanthomonas Xanthomonas oryzae 347 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulfobacterium Desulfobacterium autotrophicum 2296 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. MK52 	2711156 0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Blautia Blautia producta 33035 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Zoogloeaceae Azoarcus Azoarcus sp. SY39 	2067960 0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Alteromonas Alteromonas macleodii 28108 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Mesobacillus Mesobacillus foraminis 279826 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. Cra20 	1327635 0 0 0 0 2 0 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas crevioricanis 393921 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Bacillariophyta Bacillariophyceae Naviculales Phaeodactylaceae Phaeodactylum Phaeodactylum tricornutum 2850 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas asturiensis 1190415 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Acetobacterium Acetobacterium sp. KB-1 	2184575 0 0 0 0 7 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter oleivorans 1148157 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae Arachidicoccus Arachidicoccus sp. B3-10 	2545455 0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Paraclostridium Paraclostridium bifermentans 1490 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus circulans 1397 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium butyricum 1492 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Tamlana Tamlana sp. UJ94 	2069432 0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus sp. FSL 	P4-0081 S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Bacteroidetes Sphingobacteriia Sphingobacteriales Sphingobacteriaceae Pedobacter Pedobacter cryoconitis 188932 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium formicaceticum 1497 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Hathewaya Hathewaya histolytica 1498 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Ruminococcus Ruminococcus albus 1264 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces sp. fd1-xmd 	1812480 0 0 0 0 4 0 
Eukaryota NA Cryptophyceae Cryptomonadales Cryptomonadaceae Cryptomonas Cryptomonas paramecium 2898 	S 0.00000 0.00000 0.00000 0.00000 0.00012 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Marinobacter Marinobacter sp. NP-4(2019) 	2488665 0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Gracilibacillus Gracilibacillus sp. SCU50 	2663022 0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Lachnospira Lachnospira eligens 39485 	S 0.00000 0.00000 0.00000 0.00000 0.00021 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Rhodobacter Rhodobacter sphaeroides 1063 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Tenacibaculum Tenacibaculum dicentrarchi 669041 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae NA Peptostreptococcaceae bacterium oral 	taxon 2081703 0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus anthracis 1392 	S 0.00000 0.00000 0.00000 0.00000 0.00033 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Pelagibaca Pelagibaca abyssi 1250539 	S 0.00000 0.00000 0.00000 0.00000 0.00357 0.00000 
Bacteria Proteobacteria Betaproteobacteria NA NA Candidatus Kinetoplastibacterium Candidatus Kinetoplastibacterium 	blastocrithidii S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Kosakonia Kosakonia arachidis 551989 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Sediminicola Sediminicola sp. YIK13 	1453352 0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus amyloliquefaciens 1390 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium malariae 5858 	S 0.00000 0.00000 0.00000 0.00000 0.00012 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae Bacteroides Bacteroides intestinalis 329854 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Oceanobacillus Oceanobacillus kimchii 746691 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae Rhodospirillum Rhodospirillum rubrum 1085 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter concisus 199 	S 0.00000 0.00000 0.00000 0.00000 0.00028 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter hyointestinalis 198 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae Intestinibaculum Intestinibaculum porci 2487118 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter coli 195 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium camelliae 1265445 	S 0.00000 0.00000 0.00000 0.00000 0.00033 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter fetus 196 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Cytophagia Cytophagales Cytophagaceae Runella Runella sp. HYN0085 	2259595 0 0 0 0 1 0 
Bacteria Deinococcus-Thermus Deinococci Thermales Thermaceae Thermus Thermus thermophilus 274 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Butyrivibrio Butyrivibrio proteoclasticus 43305 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Acetobacterium Acetobacterium woodii 33952 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Labrys Labrys neptuniae 376174 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Muriicola Muriicola sp. MMS17-SY002 	2507538 0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus johnsonii 33959 	S 0.00000 0.00000 0.00000 0.00000 0.00012 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Peribacillus Peribacillus butanolivorans 421767 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Firmicutes Clostridia Halanaerobiales Halanaerobiaceae Halanaerobium Halanaerobium hydrogeniformans 656519 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Viruses Nucleocytoviricota Megaviricetes Pimascovirales Iridoviridae Iridovirus Invertebrate iridescent virus 	31 S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Firmicutes Bacilli Bacillales Planococcaceae Sporosarcina Sporosarcina ureilytica 298596 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Cyanobacteria NA Nostocales Scytonemataceae Scytonema Scytonema sp. HK-05 	1137095 0 0 0 0 2 0 
Bacteria Proteobacteria Gammaproteobacteria NA NA NA Candidatus Baumannia cicadellinicola 	186490 0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus curvatus 28038 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Halanaerobiales Halobacteroidaceae Halobacteroides Halobacteroides halobius 42422 	S 0.00000 0.00000 0.00000 0.00000 0.00021 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Microbacteriaceae Microbacterium Microbacterium sp. L-031 	2614639 0 0 0 0 3 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium commune 1306519 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces tsukubensis 83656 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter soli 487316 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Deltaproteobacteria Myxococcales Labilitrichaceae Labilithrix Labilithrix luteola 1391654 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Phyllobacteriaceae Mesorhizobium Mesorhizobium oceanicum 1670800 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Aquimarina Aquimarina sp. BL5 	1714860 0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae Herbaspirillum Herbaspirillum huttiense 863372 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Tardibacter Tardibacter chloracetimidivorans 1921510 	S 0.00000 0.00000 0.00000 0.00000 0.02939 0.00000 
Bacteria Bacteroidetes Sphingobacteriia Sphingobacteriales Sphingobacteriaceae Sphingobacterium Sphingobacterium mizutaii 1010 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus mycoides 1405 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Paraburkholderia Paraburkholderia sp. CCGE1002 	640511 0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter venetianus 52133 	S 0.00000 0.00000 0.00000 0.00000 0.00038 0.00000 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Trichomonascaceae Sugiyamaella Sugiyamaella lignohabitans 796027 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae Azospirillum Azospirillum thermophilum 2202148 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus Streptococcus dysgalactiae 1334 	S 0.00000 0.00000 0.00000 0.00000 0.00319 0.00000 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Propionibacteriaceae Propionimicrobium Propionimicrobium sp. Marseille-P3275 	1871034 0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Thiotrichales Piscirickettsiaceae Piscirickettsia Piscirickettsia salmonis 1238 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium sp. HYN0086 	2249356 0 0 0 0 1 0 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Dysgonomonadaceae Fermentimonas Fermentimonas caenicola 1562970 	S 0.00000 0.00000 0.00000 0.00000 0.00103 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Arenibacter Arenibacter algicola 616991 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulfatibacillum Desulfatibacillum aliphaticivorans 218208 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium chabaudi 5825 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Pseudoalteromonadaceae Pseudoalteromonas Pseudoalteromonas translucida 166935 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Debaryomycetaceae Candida Candida dubliniensis 42374 	S 0.00000 0.00000 0.00000 0.00000 0.00038 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas saudiphocaensis 1499686 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae Pimelobacter Pimelobacter simplex 2045 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Alkalihalobacillus Alkalihalobacillus halodurans 86665 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Polaromonas Polaromonas sp. JS666 	296591 0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Acetoanaerobium Acetoanaerobium sticklandii 1511 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Liberibacter Candidatus Liberibacter africanus 	34020 0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Hungateiclostridiaceae Thermoclostridium Thermoclostridium stercorarium 1510 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Liberibacter Candidatus Liberibacter asiaticus 	34021 0 0 0 0 1 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Debaryomycetaceae Debaryomyces Debaryomyces hansenii 4959 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Leuconostoc Leuconostoc mesenteroides 1245 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Leuconostoc Leuconostoc gelidum 1244 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces nigra 1827580 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium aureum 2497456 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus chitinolyticus 79263 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Oceanospirillales Hahellaceae Hahella Hahella sp. KA22 	1628392 0 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Arcobacter Arcobacter pacificus 1080223 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium ljungdahlii 1538 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Ascomycota Sordariomycetes Magnaporthales Pyriculariaceae Pyricularia Pyricularia pennisetigena 1578925 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Virgibacillus Virgibacillus phasianinus 2017483 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Polaribacter Polaribacter sp. ALD11 	2058137 0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces roseochromogenus 285450 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Spirochaetes Spirochaetia Leptospirales Leptospiraceae Leptospira Leptospira tipperaryensis 2564040 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Microbacteriaceae Microbacterium Microbacterium amylolyticum 936337 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter sp. TGL-Y2 	1407071 0 0 0 0 1 0 
Viruses Nucleocytoviricota Megaviricetes Imitervirales Mimiviridae Cafeteriavirus Cafeteria roenbergensis virus 	1513235 0 0 0 0 1 0 
Bacteria Bacteroidetes Cytophagia Cytophagales Flammeovirgaceae Flammeovirga Flammeovirga sp. MY04 	1191459 0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rickettsiales NA NA Rickettsiales endosymbiont of 	Stachyamoeba 2486578 0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Intrasporangiaceae Ornithinimicrobium Ornithinimicrobium sp. H23M54 	2594265 0 0 0 0 37 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Eremothecium Eremothecium sinecaudum 45286 	S 0.00000 0.00000 0.00000 0.00000 0.00014 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium chauvoei 46867 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Macrococcus Macrococcus canis 1855823 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces bacillaris 68179 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae Fusobacterium Fusobacterium nucleatum 851 	S 0.00000 0.00000 0.00000 0.00000 0.00019 0.00000 
Bacteria Firmicutes Tissierellia Tissierellales Peptoniphilaceae Parvimonas Parvimonas micra 33033 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Archaea Euryarchaeota Methanomicrobia Methanosarcinales Methanosarcinaceae Methanosarcina Methanosarcina mazei 2209 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces spongiicola 1690221 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Tenacibaculum Tenacibaculum jejuense 584609 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria NA NA NA gamma proteobacterium HdN1 	83406 0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Providencia Providencia heimbachae 333962 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium nackdongense 2547394 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium kutscheri 35755 	S 0.00000 0.00000 0.00000 0.00000 0.00139 0.00000 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma suis 57372 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae NA Arcobacter sp. LPB0137 	1850254 0 0 0 0 3 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. ORS 	3257 S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma bovoculi 45362 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium sp. 6424 	2039166 0 0 0 0 35 0 
Bacteria Proteobacteria Gammaproteobacteria NA NA Candidatus Nardonella Candidatus Nardonella 	dryophthoridicola S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter cuniculorum 374106 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Planococcaceae Solibacillus Solibacillus sp. R5-41 	2048654 0 0 0 0 1 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium yoelii 5861 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Methylobacteriaceae Methylobacterium Methylobacterium sp. 17Sr1-1 	2202826 0 0 0 0 4 0 
Bacteria Firmicutes Bacilli Bacillales Listeriaceae Listeria Listeria sp. PSOL-1 	1844999 0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Elizabethkingia Elizabethkingia anophelis 1117645 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Cellulosilyticum Cellulosilyticum lentocellum 29360 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Erwinia Candidatus Erwinia haradaeae 	1922217 0 0 0 0 1 0 
Bacteria Planctomycetes NA NA NA NA Planctomycetes bacterium KS4 	2528020 0 0 0 0 76 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Hydrogenophaga Hydrogenophaga sp. BPS33 	2651974 0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. C8-2 	2492837 0 0 0 0 2833 0 
Bacteria Actinobacteria Actinobacteria Pseudonocardiales Pseudonocardiaceae Amycolatopsis Amycolatopsis orientalis 31958 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma phocirhinis 142650 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma phocidae 142651 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus sanfranciscensis 1625 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus salivarius 1624 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Yersiniaceae Yersinia Yersinia aleksiciae 263819 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
