"OTU"	"Control_Healthy"	"Control_Sick"	"COVID19"	"1"	"2"	"3"	"4"	"5"
"1"	"(2,3-dihydroxybenzoyl)adenylate synthase activity"	0.0625	0.524590163934426	29.0975609756098	0.526315789473684	0	0.238095238095238	108.363636363636	0
"2"	"(deoxy)nucleoside-phosphate kinase activity"	0	0	5.65853658536585	0	0	0	21.0909090909091	0
"3"	"(R)-2-hydroxyacid dehydrogenase activity"	0.125	0.0655737704918033	3.07317073170732	0.105263157894737	0	0.0952380952380952	11.4545454545455	0
"4"	"(R)-citramalate synthase activity"	0.375	0.0491803278688525	3.21951219512195	0.210526315789474	0	0.333333333333333	11.6363636363636	0
"5"	"(R)-limonene 1,2-monooxygenase activity"	0.0625	0.0491803278688525	4.58536585365854	0.0350877192982456	0	0.142857142857143	17.0909090909091	0
"6"	"(R,R)-butanediol dehydrogenase activity"	0	3.95081967213115	21.0975609756098	1.82456140350877	0	27.5238095238095	38.5454545454545	0
"7"	"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity"	6.25	39.5409836065574	146.146341463415	4.71929824561404	30.1538461538462	150.904761904762	362.727272727273	0
"8"	"(S)-2-haloacid dehalogenase activity"	0.375	0.360655737704918	13.0487804878049	0.210526315789474	0	18.952380952381	14.4545454545455	0
"9"	"(S)-2-hydroxy-acid oxidase activity"	1.90625	5.18032786885246	43.1951219512195	2.6140350877193	0	17.3333333333333	148.636363636364	0
"10"	"(S)-3-amino-2-methylpropionate transaminase activity"	0	5	9.95121951219512	0	0	1.19047619047619	62.5454545454545	0
"11"	"(S)-limonene 1,2-monooxygenase activity"	0.0625	0.0491803278688525	4.58536585365854	0.0350877192982456	0	0.142857142857143	17.0909090909091	0
"12"	"[acyl-carrier-protein] phosphodiesterase activity"	0.125	3.81967213114754	14.1463414634146	0.157894736842105	0.0512820512820513	4.33333333333333	65	0
"13"	"[acyl-carrier-protein] S-acetyltransferase activity"	0	0.540983606557377	2.19512195121951	0.0701754385964912	0.102564102564103	2.04761904761905	6.54545454545455	0
"14"	"[acyl-carrier-protein] S-malonyltransferase activity"	3.625	43.8360655737705	142.560975609756	31.1578947368421	0.102564102564103	134.47619047619	366.454545454545	0
"15"	"[citrate (pro-3S)-lyase] ligase activity"	0	2.85245901639344	33.7317073170732	0.0526315789473684	0	43.5714285714286	58.0909090909091	0
"16"	"[glutamate-ammonia-ligase] adenylyltransferase activity"	5.15625	27.0655737704918	114.121951219512	4.10526315789474	0.0512820512820513	22.952380952381	525.181818181818	0
"17"	"[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase"	3.5	23.2459016393443	93.9756097560976	2.52631578947368	0	11	455.272727272727	0
"18"	"[glycogen-synthase-D] phosphatase activity"	0.0625	0.934426229508197	0.585365853658537	1.03508771929825	0	0	2.18181818181818	0
"19"	"[isocitrate dehydrogenase (NADP+)] kinase activity"	0.4375	7.34426229508197	53.5365853658537	1.10526315789474	0	17.4761904761905	202.454545454545	0
"20"	"[protein-PII] uridylyltransferase activity"	5.875	31.5573770491803	109.90243902439	6.63157894736842	0.0512820512820513	29	511.818181818182	0
"21"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity"	1.3125	18.3606557377049	49.4146341463415	7.07017543859649	0	6.42857142857143	240.909090909091	0
