"treatment_1"	"treatment_2"	"log2_median_ratio"	"median_diff"	"mean_diff"	"wilcox_p_value"	"p.adjust"	"OTU"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.0196683145902422	"946483"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Candidatus Symbiobacter"	"Candidatus Symbiobacter mobilis"
"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.0196683145902422	"1844971"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Curvibacter"	"Curvibacter sp. AEP1-3"
"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.0196683145902422	"2109913"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Melaminivora"	"Melaminivora sp. SC2-9"
"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.0196683145902422	"2109914"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Ottowia"	"Ottowia oryzae"
"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.0196683145902422	"2116657"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Pulveribacter"	"Pulveribacter suum"
"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.0196683145902422	"34072"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	NA
"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.0196683145902422	"282217"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. SRS16"
"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.0196683145902422	"436515"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax boronicumulans"
"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.0196683145902422	"663243"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	NA
"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.0196683145902422	"1034889"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. HW608"
"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.0196683145902422	"1246301"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax paradoxus"
"Survived"	"Deceased"	-5.20724777760945	-0.405436396962396	-0.376922274579243	0.000164588406612905	0.0196683145902422	"2126319"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. PMC12"
"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.0196683145902422	"391735"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Verminephrobacter"	"Verminephrobacter eiseniae"
